# teo 	 eig_val_osc 	 eig_val_g_p 	 ene_g_p_p_2 	 eig_val_g_1 	 ene_g_1_p_2 	 x_n 
1 	 1.000099759945933 	 1.0348361381871551 	 1.0342187500000002 	 1.3925162746503794 	 0.4375 	 0.30586748686746934 
3 	 3.0002987797397886 	 3.1675557175856035 	 3.16171875 	 4.649374927730195 	 -3.5625 	 0.8013890655551132 
5 	 5.000496799358681 	 5.417835452369342 	 5.39140625 	 8.656113309738112 	 -23.6875 	 1.155636400443647 
7 	 7.000693818732665 	 7.771104966307558 	 7.69140625 	 13.158429196010104 	 -72.6875 	 1.4677690982696534 
9 	 9.00088983793607 	 10.21677690380402 	 10.02984375 	 18.059789834043684 	 -163.3125 	 1.751229870912041 
11 	 11.001084856940123 	 12.74671597942389 	 12.37484375 	 23.300315850899768 	 -308.3125 	 2.014398515727021 
13 	 13.001278875711115 	 15.354426159669062 	 14.694531249999999 	 28.838882377410172 	 -520.4375 	 2.262071852422557 
15 	 15.00147189428932 	 18.034571413005914 	 16.95703125 	 34.64508352473311 	 -812.4375 	 2.497359343121933 
17 	 17.001663912619428 	 20.78267189746666 	 19.13046875 	 40.6953296379916 	 -1197.0625 	 2.72241908858254 
19 	 19.00185493083042 	 23.59490069412292 	 21.18296875 	 46.97067449959256 	 -1687.0625 	 2.938826194716413 
